Item Name,Serving Size,Calories,Calories From Fat,Total Fat (g),% Daily Value*,Saturated Fat (g),% Daily Value**,Trans Fat (g),Cholesterol (mg),% Daily Value*,Sodium (mg),% Daily Value*,Carbohydrates (g),% Daily Value*,Dietary Fiber (g),% Daily Value*,Sugars (g),Protein (g),Vitamin A,Vitamin C,Calcium,Iron
Bacon Clubhouse Burger, 9.7 oz,740,370,41,64,16,79,1.5,125,41,1480,62,51,17,4,14,14,40,8,25,30,25
Bacon Clubhouse Grilled Chicken Sandwich, 10 oz,610,230,26,39,8,42,0,125,42,1750,73,50,17,3,14,14,45,8,30,35,15
Bacon Clubhouse Buttermilk Crispy Chicken Sandwich, 10.1 oz,790,360,40,62,11,53,0.5,110,37,1620,68,67,22,5,18,15,40,8,35,30,25
McChicken ®, 5.1 oz,370,150,17,26,3.5,16,0,40,13,650,27,40,13,2,8,5,14,2,0,10,15
Buffalo Ranch McChicken, 5.2 oz,370,150,17,26,3.5,17,0,40,13,850,35,41,14,2,8,5,14,2,0,15,15
Bacon Buffalo Ranch McChicken, 5.7 oz,440,190,21,33,5,26,0,55,18,1120,46,41,14,2,8,6,20,2,10,15,15
Bacon Cheddar McChicken, 6.1 oz,490,220,25,38,7,36,0,70,23,1120,46,43,14,2,9,6,22,4,10,20,15
Southern Style Buttermilk Crispy Chicken Sandwich, 5.7 oz,470,190,21,33,3.5,18,0,60,20,810,34,46,15,2,9,5,25,4,8,15,20
Filet-O-Fish, 5 oz,390,170,19,29,4,19,0,40,14,590,24,39,13,2,7,5,15,2,0,15,10
McRib ® †,  7.3 oz,500,240,26,40,10,48,0,70,23,980,41,44,15,3,10,11,22,2,2,15,20
Premium McWrap Chicken & Bacon (Buttermilk Crispy), 11.1 oz,690,310,34,53,10,49,0.5,100,33,1450,60,58,19,4,17,6,36,100,35,20,30
Premium McWrap Chicken & Bacon (Grilled), 11 oz,500,180,19,30,8,38,0.5,115,38,1570,66,41,14,3,13,5,41,100,30,25,20
Premium McWrap Chicken & Ranch (Buttermilk Crispy), 10.9 oz,660,300,34,52,9,44,0.5,85,28,1250,52,59,20,4,18,6,31,100,25,20,30
Premium McWrap Chicken & Ranch (Grilled), 10.8 oz,470,170,19,29,7,33,0.5,100,33,1370,57,41,14,3,13,5,35,100,25,25,20
Premium McWrap Chicken Sweet Chili (Buttermilk Crispy), 10.6 oz,590,220,25,38,5,26,0,65,22,1160,48,64,21,4,17,12,27,100,25,10,30
