Item Name,Serving Size,Calories,Mileage_taken_off_per_item (Miles),Mileage_taken_off_per_item MONEY RACK (Miles)
Bacon Clubhouse Burger, 9.7 oz,740,1.6,1.6
Bacon Clubhouse Grilled Chicken Sandwich, 10 oz,610,1.7,1.7
Bacon Clubhouse Buttermilk Crispy Chicken Sandwich, 10.1 oz,790,1.7,1.7
McChicken ®, 5.1 oz,370,0.8,0.8
Buffalo Ranch McChicken, 5.2 oz,370,0.9,0.9
Bacon Buffalo Ranch McChicken, 5.7 oz,440,1.0,1.0
Bacon Cheddar McChicken, 6.1 oz,490,1.0,1.0
Southern Style Buttermilk Crispy Chicken Sandwich, 5.7 oz,470,1.0,1.0
Filet-O-Fish, 5 oz,390,0.8,0.8
McRib ® †,  7.3 oz,500,1.2,1.2
Premium McWrap Chicken & Bacon (Buttermilk Crispy), 11.1 oz,690,1.8,1.8
Premium McWrap Chicken & Bacon (Grilled), 11 oz,500,1.8,1.8
Premium McWrap Chicken & Ranch (Buttermilk Crispy), 10.9 oz,660,1.8,1.8
Premium McWrap Chicken & Ranch (Grilled), 10.8 oz,470,1.8,1.8
Premium McWrap Chicken Sweet Chili (Buttermilk Crispy), 10.6 oz,590,1.8,1.8
  Premium McWrap Chicken Sweet Chili (Grilled), 10.4 oz,400,1.7,1.7
Big Mac, 7.5 oz,540,1.2,1.2
Quarter Pounder® with Cheese +, 7.3 oz,540,1.2,1.2
Double Quarter Pounder with Cheese, 10.3 oz,780,1.7,1.7
Hamburger, 3.5 oz,250,0.6,0.6
Cheeseburger, 4 oz,300,0.7,0.7
BBQ Ranch Burger, 4 oz,350,0.7,0.7
Grilled Onion Cheddar, 4 oz,310,0.7,0.7
Double Cheeseburger, 5.7 oz,440,1.0,1.0
McDouble, 5.2 oz,390,0.9,0.9
Bacon McDouble, 5.7 oz,460,1.0,1.0
Daily Double †,  6.8 oz,440,1.1,1.1
Ranch Snack Wrap® (Buttermilk Crispy), 4.6 oz,380,0.8,0.8
Ranch Snack Wrap® (Grilled), 4.5 oz,290,0.8,0.8
Mac Snack Wrap †,  4.4 oz,330,0.7,0.7
Jalapeño Double, 5.7 oz,440,1.0,1.0
Premium Crispy Chicken Deluxe Sandwich, 8 oz,530,1.3,1.3
Quarter Pounder Deluxe, 9.2 oz,600,1.5,1.5
Artisan Grilled Chicken Sandwich, 7.3 oz,360,1.2,1.2
Buttermilk Crispy Chicken Sandwich, 8.1 oz,580,1.3,1.3
Chicken & Fish Bacon Clubhouse Grilled Chicken Sandwich, 10 oz,610,1.7,1.7
  Premium Asian Salad with Buttermilk Crispy Chicken, 10.5 oz,450,1.8,1.8
Premium Asian Salad with Grilled Chicken, 10.4 oz,270,1.7,1.7
Bacon Clubhouse Buttermilk Crispy Chicken Sandwich, 10.1 oz,790,1.7,1.7
McChicken ®, 5.1 oz,370,0.8,0.8
Buffalo Ranch McChicken, 5.2 oz,370,0.9,0.9
Bacon Buffalo Ranch McChicken, 5.7 oz,440,1.0,1.0
Bacon Cheddar McChicken, 6.1 oz,490,1.0,1.0
Southern Style Buttermilk Crispy Chicken Sandwich, 5.7 oz,470,1.0,1.0
Filet-O-Fish, 5 oz,390,0.8,0.8
Premium McWrap Chicken & Bacon (Buttermilk Crispy), 11.1 oz,690,1.8,1.8
Premium McWrap Chicken & Bacon (Grilled), 11 oz,500,1.8,1.8
Premium McWrap Chicken & Ranch (Buttermilk Crispy), 10.9 oz,660,1.8,1.8
Premium McWrap Chicken & Ranch (Grilled), 10.8 oz,470,1.8,1.8
Premium McWrap Chicken Sweet Chili (Buttermilk Crispy), 10.6 oz,590,1.8,1.8
Premium McWrap Chicken Sweet Chili (Grilled), 10.4 oz,400,1.7,1.7
Chicken McNuggets® (10 piece), 5.7 oz,470,1.0,1.0
  Ranch Snack Wrap® (Buttermilk Crispy), 4.6 oz,380,0.8,0.8
Chicken McNuggets® (20 piece), 11.4 oz,940,1.9,1.9
Chicken McNuggets® (6 piece), 3.4 oz,280,0.6,0.6
Chicken McNuggets® (40 piece) †,  22.8 oz,1880,3.8,3.8
Premium Bacon Ranch Salad with Buttermilk Crispy Chicken, 9.5 oz,490,1.6,1.6
Ranch Snack Wrap® (Grilled), 4.5 oz,290,0.8,0.8
Premium Bacon Ranch Salad with Grilled Chicken, 9.4 oz,310,1.6,1.6
Premium Southwest Salad with Buttermilk Crispy Chicken, 10.4 oz,510,1.7,1.7
Premium Southwest Salad with Grilled Chicken, 10.3 oz,330,1.7,1.7
Chicken McNuggets® (4 piece), 2.3 oz,190,0.4,0.4
Premium Crispy Chicken Deluxe Sandwich, 8 oz,530,1.3,1.3
Chicken Selects (3 pc), 4.4 oz,370,0.7,0.7
Artisan Grilled Chicken Sandwich, 7.3 oz,360,1.2,1.2
Buttermilk Crispy Chicken Sandwich, 8.1 oz,580,1.3,1.3
Premium Asian Salad with Crispy Chicken, 10.3 oz,410,1.7,1.7
Bacon Clubhouse Crispy Chicken Sandwich, 10 oz,750,1.7,1.7
